ID1	ID2	GRM	KING
s4	s76	0.0622	0.0000
s4	s77	0.0755	0.0000
s4	s78	0.0700	0.0000
s4	s79	-0.0892	0.0000
s4	s82	0.0722	0.0000
s4	s83	0.0100	0.0000
s4	s84	0.0673	0.0000
s4	s85	0.0068	0.0000
s4	s87	0.0609	0.0000
s4	s91	-0.0607	0.0000
s4	s92	0.0435	0.0000
s4	s93	0.0435	0.0000
s4	s94	-0.0636	0.0000
s4	s95	-0.0052	0.0000
s5	s6	-0.0046	0.0000
s5	s8	0.0120	0.0000
s5	s9	-0.0178	0.0000
s5	s10	-0.0122	0.0000
s5	s13	0.4957	0.2485
s5	s14	-0.0071	0.0000
s5	s16	-0.0072	0.0000
s5	s17	0.5083	0.2491
s5	s18	0.0041	0.0000
s5	s19	0.0042	0.0000
s5	s20	0.0056	0.0000
s5	s24	0.0043	0.0000
s5	s26	0.0125	0.0000
s5	s27	-0.0140	0.0000
s5	s28	-0.0760	0.0000
s5	s29	0.0042	0.0000
s5	s30	-0.0067	0.0000
s5	s31	0.0107	0.0000
s5	s32	-0.0138	0.0000
s5	s33	-0.0022	0.0000
s5	s34	-0.0078	0.0000
s5	s35	0.0058	0.0000
s5	s36	0.0044	0.0000
s5	s37	0.0123	0.0000
s5	s38	-0.0808	0.0000
s5	s41	0.0055	0.0000
s5	s42	-0.0173	0.0000
s5	s43	-0.0099	0.0000
s5	s46	-0.0133	0.0000
s5	s47	0.0099	0.0000
s5	s48	0.0214	0.0000
s5	s49	-0.0811	0.0000
s5	s50	0.0315	0.0000
s5	s51	0.0294	0.0000
s5	s52	0.0033	0.0000
s5	s53	0.0029	0.0000
s5	s54	-0.0088	0.0000
s5	s55	0.0058	0.0000
s5	s57	0.0084	0.0000
s5	s58	0.0063	0.0000
s5	s59	-0.0117	0.0000
s5	s60	0.0099	0.0000
s5	s61	-0.0100	0.0000
s5	s64	0.0071	0.0000
s5	s66	0.0092	0.0000
s5	s67	-0.0170	0.0000
s5	s68	-0.0148	0.0000
s5	s69	0.0100	0.0000
s5	s73	-0.0168	0.0000
s5	s74	-0.0824	0.0000
s5	s75	-0.0782	0.0000
s5	s76	-0.0042	0.0000
s5	s77	0.0033	0.0000
s5	s78	0.0103	0.0000
s5	s79	-0.0804	0.0000
s5	s82	0.0065	0.0000
s5	s83	0.5273	0.2624
s5	s84	0.0008	0.0000
s5	s85	0.5137	0.2523
s5	s87	-0.0007	0.0000
s5	s91	-0.0061	0.0000
s5	s92	-0.0186	0.0000
